country_name,year,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,perceptions_of_corruption,positive_affect,mys_year
Albania,2023,5.445,9.689,0.691,69.2,0.872,0.855,0.597,9.903926735066667
Argentina,2023,6.393,9.994,0.892,67.3,0.832,0.846,0.72,10.814713870588234
Armenia,2023,5.679,9.73,0.819,68.2,0.819,0.681,0.575,11.242873370625
Australia,2023,7.025,10.846,0.896,71.2,0.876,0.482,0.731,12.264984308750002
Austria,2023,6.636,10.93,0.874,71.4,0.874,0.529,0.712,11.981690696666664
Azerbaijan,2023,5.214,9.637,0.713,64.1,0.829,0.627,0.509,10.54083664
Bangladesh,2023,4.114,8.783,0.45,64.8,0.919,0.756,0.435,5.862521290875
Belgium,2023,6.944,10.883,0.896,71.2,0.87,0.522,0.725,11.82987226375
Benin,2023,4.42,8.174,0.398,56.7,0.786,0.575,0.573,2.7582551395
Bolivia,2023,5.86,9.025,0.786,63.9,0.832,0.877,0.753,8.590413051470588
Bosnia and Herzegovina,2023,6.009,9.759,0.879,67.4,0.847,0.948,0.579,8.829574056357142
Botswana,2023,3.332,9.673,0.701,55.0,0.741,0.814,0.657,9.615538461538462
Brazil,2023,6.553,9.635,0.856,66.1,0.87,0.733,0.694,7.405529813235294
Bulgaria,2023,5.59,10.273,0.935,66.7,0.754,0.948,0.539,11.111359322142858
Burkina Faso,2023,4.462,7.693,0.58,56.4,0.715,0.65,0.639,1.5182697036666668
Cambodia,2023,4.221,8.462,0.738,62.3,0.961,0.799,0.683,4.192326409285715
Cameroon,2023,4.946,8.238,0.716,57.2,0.739,0.855,0.588,5.529824465
Canada,2023,6.841,10.794,0.902,71.5,0.847,0.468,0.726,13.654493444375
Chad,2023,4.544,7.254,0.609,53.5,0.586,0.755,0.541,1.9484346141333333
Chile,2023,6.23,10.155,0.874,70.6,0.815,0.836,0.779,10.310368299764704
Colombia,2023,5.904,9.667,0.833,69.7,0.823,0.87,0.754,7.958418537705883
Comoros,2023,3.588,8.095,0.483,59.6,0.452,0.704,0.535,5.059159322857143
Congo (Brazzaville),2023,4.954,8.086,0.561,57.5,0.702,0.745,0.585,8.098135418666665
Congo (Kinshasa),2023,3.383,7.076,0.572,55.8,0.687,0.837,0.546,6.3060667666666665
Costa Rica,2023,7.384,10.021,0.875,70.0,0.933,0.767,0.806,8.500830518529412
Croatia,2023,5.958,10.462,0.909,69.3,0.573,0.81,0.61,11.634135402666669
Czechia,2023,6.827,10.639,0.927,69.3,0.906,0.832,0.75,12.604043314285716
Denmark,2023,7.504,10.996,0.916,71.5,0.923,0.184,0.757,12.766311402352942
Dominican Republic,2023,5.921,9.9,0.86,64.8,0.867,0.667,0.73,8.043922814117646
Ecuador,2023,5.852,9.307,0.782,69.5,0.731,0.84,0.763,8.352525442058823
El Salvador,2023,6.482,9.167,0.744,66.3,0.942,0.496,0.812,6.53470584935294
Estonia,2023,6.43,10.517,0.958,70.1,0.915,0.334,0.765,13.455013275
Ethiopia,2023,4.093,7.809,0.67,61.5,0.631,0.8,0.538,2.374307332333333
Finland,2023,7.699,10.808,0.947,71.3,0.943,0.185,0.717,12.639659241333332
France,2023,6.557,10.742,0.85,72.5,0.776,0.558,0.676,11.12939602235294
Gabon,2023,5.104,9.554,0.735,58.9,0.722,0.822,0.62,8.9825
Gambia,2023,4.691,7.686,0.651,58.2,0.727,0.852,0.719,4.228122735
Georgia,2023,5.351,9.785,0.779,65.2,0.877,0.706,0.542,12.60194885
Germany,2023,6.792,10.878,0.895,71.7,0.845,0.46,0.706,14.006232656470589
Ghana,2023,4.298,8.61,0.661,59.5,0.834,0.892,0.638,6.834883671352941
Greece,2023,5.796,10.387,0.818,71.4,0.589,0.805,0.608,10.6056297138125
Guatemala,2023,6.421,9.14,0.796,63.1,0.873,0.812,0.843,4.835123579266666
Guinea,2023,4.827,7.932,0.577,55.1,0.743,0.791,0.652,2.213695347916667
Honduras,2023,5.861,8.67,0.731,64.7,0.878,0.784,0.767,6.001771675375
Hungary,2023,5.965,10.473,0.954,67.8,0.755,0.847,0.673,11.880170970625
Iceland,2023,7.562,10.934,0.979,72.1,0.918,0.697,0.793,13.443837444
India,2023,4.676,8.919,0.633,61.5,0.9,0.77,0.699,5.626985472352941
Indonesia,2023,5.695,9.466,0.781,63.3,0.9,0.866,0.814,7.844178213823532
Iran,2023,5.004,9.651,0.809,66.9,0.615,0.764,0.533,10.1852012912
Iraq,2023,5.475,9.093,0.734,64.6,0.658,0.851,0.587,6.590781522916667
Ireland,2023,6.817,11.676,0.921,71.5,0.903,0.373,0.742,11.3848899325
Israel,2023,6.783,10.707,0.952,73.0,0.797,0.636,0.484,12.861242248235293
Italy,2023,6.245,10.703,0.851,72.2,0.699,0.819,0.636,10.170191204411765
Ivory Coast,2023,5.337,8.656,0.623,57.1,0.753,0.676,0.67,4.36283515790909
Japan,2023,5.91,10.654,0.842,74.6,0.777,0.594,0.638,12.562587926470588
Jordan,2023,4.292,9.151,0.721,67.6,0.754,0.651,0.518,10.152643363333333
Kazakhstan,2023,6.299,10.172,0.929,66.6,0.901,0.812,0.626,11.801596232941176
Kenya,2023,4.496,8.523,0.703,59.3,0.736,0.8,0.756,6.8777722542941175
Kyrgyzstan,2023,5.91,8.573,0.946,67.9,0.943,0.899,0.681,11.357669227058825
Laos,2023,5.486,9.005,0.678,61.7,0.904,0.724,0.679,5.390758146111111
Latvia,2023,6.296,10.408,0.932,66.6,0.816,0.8,0.671,12.8469530475
Lebanon,2023,3.588,9.471,0.686,66.3,0.499,0.895,0.373,8.365149154941177
Liberia,2023,4.494,7.309,0.63,57.3,0.72,0.834,0.608,4.6509981342
Lithuania,2023,6.553,10.575,0.881,68.1,0.734,0.751,0.493,12.835930039411764
Luxembourg,2023,7.016,11.649,0.879,71.7,0.911,0.343,0.751,12.90708672
Madagascar,2023,4.433,7.333,0.692,58.3,0.504,0.784,0.718,4.856276510090908
Malawi,2023,3.272,7.279,0.47,59.3,0.738,0.745,0.52,4.920838701571428
Malaysia,2023,5.868,10.283,0.779,65.6,0.965,0.754,0.761,9.846304672
Mali,2023,4.37,7.673,0.641,56.2,0.776,0.79,0.66,1.7773353829375
Mauritania,2023,4.292,8.62,0.606,60.7,0.54,0.669,0.708,4.157097320428571
Mauritius,2023,5.759,10.083,0.868,63.8,0.797,0.769,0.664,9.617474539
Mexico,2023,7.006,9.9,0.868,65.8,0.87,0.756,0.809,8.504345080352941
Moldova,2023,5.801,9.492,0.842,66.1,0.844,0.86,0.578,11.642810505882354
Mongolia,2023,5.58,9.433,0.938,60.7,0.699,0.871,0.545,10.151623026
Montenegro,2023,5.813,10.041,0.853,67.4,0.799,0.706,0.481,11.736334208461535
Morocco,2023,4.487,9.009,0.5,64.1,0.821,0.831,0.549,5.497999999999999
Mozambique,2023,5.704,7.147,0.701,52.2,0.867,0.678,0.625,3.0231842688
Myanmar,2023,4.391,8.347,0.685,62.2,0.695,0.686,0.634,5.3229961438
Namibia,2023,5.055,9.167,0.852,57.6,0.674,0.873,0.635,7.03176205175
Nepal,2023,5.389,8.318,0.749,62.4,0.765,0.792,0.461,3.7781198086470575
Netherlands,2023,7.255,10.977,0.915,71.7,0.847,0.424,0.693,12.18134227375
New Zealand,2023,6.976,10.72,0.933,70.5,0.877,0.304,0.738,13.223637104375
Nicaragua,2023,6.362,8.685,0.836,65.8,0.906,0.532,0.772,6.507058823529412
Nigeria,2023,4.869,8.514,0.781,55.7,0.72,0.877,0.721,6.418807254500001
North Macedonia,2023,5.403,9.776,0.883,66.9,0.738,0.917,0.517,10.280998486
Norway,2023,7.249,11.125,0.952,71.6,0.938,0.245,0.756,12.825682240833332
Pakistan,2023,4.549,8.588,0.553,58.0,0.661,0.889,0.504,4.734874561733334
Panama,2023,6.543,10.455,0.887,69.1,0.852,0.871,0.829,9.760399236875
Paraguay,2023,6.214,9.549,0.889,66.0,0.902,0.835,0.833,8.031699061187501
Peru,2023,5.936,9.459,0.787,70.2,0.757,0.919,0.765,9.134034469705885
Philippines,2023,6.184,9.102,0.796,62.1,0.932,0.768,0.8,8.852944548933333
Poland,2023,6.685,10.527,0.89,69.4,0.775,0.662,0.556,12.758675873125
Portugal,2023,5.954,10.504,0.895,71.5,0.847,0.889,0.661,8.818246014799998
Romania,2023,6.489,10.431,0.826,67.3,0.849,0.905,0.628,10.98259883
Senegal,2023,5.093,8.2,0.668,60.6,0.798,0.836,0.825,2.503534725294118
Serbia,2023,6.441,9.961,0.895,67.4,0.807,0.782,0.526,10.848071762857144
Sierra Leone,2023,3.467,7.412,0.601,56.1,0.694,0.866,0.504,3.401587937285714
Slovakia,2023,6.261,10.425,0.941,69.4,0.753,0.825,0.647,12.563267383846153
Slovenia,2023,6.746,10.664,0.911,71.4,0.931,0.75,0.615,12.488739126666664
South Africa,2023,5.076,9.503,0.839,58.3,0.748,0.861,0.708,10.087585162266668
South Korea,2023,6.112,10.742,0.799,74.2,0.762,0.714,0.603,11.918106401176471
Spain,2023,6.456,10.609,0.912,72.6,0.779,0.675,0.655,9.794660344764704
Sri Lanka,2023,3.602,9.364,0.79,67.4,0.754,0.922,0.709,10.437459774
Sweden,2023,7.161,10.902,0.927,72.4,0.926,0.253,0.739,12.39974971625
Switzerland,2023,6.969,11.169,0.904,73.3,0.891,0.247,0.745,13.551243428333336
Thailand,2023,6.282,9.807,0.873,68.6,0.926,0.889,0.811,8.019638986941176
Togo,2023,4.365,7.725,0.547,58.2,0.665,0.685,0.546,4.553714934545455
Tunisia,2023,4.505,9.282,0.702,67.1,0.482,0.882,0.461,7.30749537376923
Turkiye,2023,5.463,10.429,0.86,69.1,0.523,0.748,0.344,7.700473603200001
Uganda,2023,4.467,7.759,0.827,60.1,0.848,0.912,0.726,5.6275168119375
Ukraine,2023,4.672,9.423,0.839,64.8,0.772,0.922,0.49,11.272551192352942
United Kingdom,2023,6.658,10.759,0.886,70.5,0.874,0.49,0.719,13.050127609411764
United States,2023,6.521,11.089,0.861,65.6,0.721,0.722,0.706,13.2853608425
Uruguay,2023,6.662,10.122,0.908,67.5,0.904,0.662,0.753,8.61994227782353
Uzbekistan,2023,6.385,9.026,0.909,65.9,0.927,0.65,0.752,11.490172395833332
Vietnam,2023,6.325,9.392,0.845,65.7,0.956,0.655,0.71,8.002616822583333
Zambia,2023,3.686,8.115,0.664,56.1,0.854,0.814,0.653,6.647242092733334
Zimbabwe,2023,3.572,7.679,0.694,55.0,0.735,0.757,0.61,8.118751733117646
