year_x,country_name,life_ladder,quality_of_life_index,purchasing_power_index,crime_index,health_care_index,cost_of_living_index,pollution_index,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,perceptions_of_corruption,positive_affect,negative_affect,eys_year,mys_year
2022,Netherlands,7.39,196.7,107.8,27.3,77.1,68.6,23.7,10.981,0.929,71.625,0.868,0.459,0.711,0.198,18.58348083,12.58162975
2022,Denmark,7.545,194.7,105.0,26.6,79.2,78.6,21.3,10.994,0.97,71.375,0.93,0.203,0.787,0.205,18.77403069,12.96049023
2022,Switzerland,6.884,193.6,118.7,23.6,74.5,114.2,19.6,11.184,0.881,73.1,0.848,0.235,0.71,0.18,16.5837307,13.90406622
2022,Luxembourg,7.228,192.9,127.1,35.1,75.0,73.2,21.9,11.66,0.878,71.675,0.915,0.345,0.718,0.218,14.19705009,12.9600811
2022,Finland,7.729,190.5,98.8,26.8,77.1,67.5,12.0,10.814,0.974,71.225,0.959,0.19,0.741,0.191,19.22859001,12.92915501
2022,Iceland,7.449,187.5,90.1,24.9,67.0,83.3,15.2,10.935,0.985,72.075,0.936,0.692,0.768,0.178,19.10672951,13.76716995
2022,Austria,6.999,185.8,91.2,27.3,77.2,66.0,21.5,10.939,0.876,71.275,0.856,0.524,0.718,0.226,16.36746025,12.30571367
2022,Australia,7.035,183.0,110.9,45.5,75.3,75.3,25.4,10.854,0.942,71.125,0.854,0.545,0.711,0.244,21.0800209,12.72681999
2022,Norway,7.295,182.7,95.0,33.5,76.7,88.6,17.7,11.111,0.927,71.55,0.939,0.314,0.759,0.211,18.63846016,13.06234279
2022,Germany,6.608,179.0,107.6,37.6,71.9,62.9,28.8,10.899,0.916,71.5,0.895,0.417,0.668,0.201,17.34334946,14.25594044
2022,New Zealand,6.975,176.7,93.0,45.8,71.0,72.9,24.2,10.682,0.956,70.425,0.831,0.281,0.706,0.21,19.68234062,12.94468975
2022,Japan,6.178,176.3,100.4,23.1,80.3,64.6,39.2,10.636,0.899,74.475,0.789,0.643,0.67,0.165,15.45631981,12.66923046
2022,Sweden,7.431,175.8,101.2,48.5,68.6,62.9,18.0,10.913,0.949,72.275,0.939,0.213,0.75,0.163,19.03676987,12.67372015
2022,Spain,6.337,173.8,82.5,35.7,77.9,50.6,39.6,10.587,0.934,72.475,0.781,0.673,0.636,0.32,17.80905914,10.60540009
2022,United States,6.693,172.7,115.7,49.0,68.6,72.4,36.1,11.079,0.9,65.725,0.736,0.701,0.712,0.267,16.41274071,13.57549953
2022,Estonia,6.357,171.9,61.4,25.1,74.1,54.8,17.9,10.571,0.933,69.875,0.904,0.39,0.767,0.187,15.94297981,13.54843044
2022,Slovenia,6.723,169.3,61.7,24.2,65.3,50.8,22.7,10.644,0.942,71.225,0.93,0.762,0.625,0.242,17.40657997,12.88015724
2022,United Kingdom,6.722,166.4,98.9,46.9,74.1,61.5,40.4,10.754,0.863,70.4,0.857,0.426,0.723,0.27,17.6342907,13.4061203
2022,Portugal,5.953,163.8,51.7,31.5,71.5,45.3,30.6,10.487,0.862,71.375,0.903,0.893,0.638,0.316,16.82140923,9.575940132
2022,Czechia,6.695,163.6,71.8,26.6,75.5,48.9,35.3,10.656,0.944,69.175,0.908,0.831,0.743,0.246,16.3472805,12.91605342
2022,Croatia,5.579,163.2,56.2,24.6,63.9,46.7,32.0,10.458,0.91,69.125,0.593,0.875,0.573,0.267,15.57269955,12.32871821
2022,Canada,6.918,162.3,102.1,44.3,70.4,66.1,29.1,10.803,0.929,71.45,0.838,0.442,0.719,0.287,15.96065044,13.86876597
2022,Lithuania,7.038,161.5,56.7,33.0,73.2,48.8,25.7,10.602,0.937,67.75,0.71,0.685,0.471,0.132,16.39982986,13.49810028
2022,Belgium,6.857,157.3,94.5,49.1,75.2,65.6,50.1,10.878,0.923,71.05,0.89,0.483,0.718,0.235,18.94573975,12.52857789
2022,Ireland,6.87,154.0,82.6,45.9,51.8,70.5,34.8,11.625,0.906,71.4,0.895,0.358,0.738,0.234,19.12610054,11.6569568
2022,France,6.614,153.8,86.2,55.3,79.4,68.7,42.9,10.737,0.866,72.4,0.798,0.533,0.688,0.249,15.98756027,11.68859246
2022,Latvia,6.055,153.2,52.9,37.7,62.4,50.9,31.5,10.407,0.928,66.5,0.817,0.844,0.632,0.161,16.55606079,13.33330305
2022,Israel,7.662,148.4,80.5,32.6,73.5,76.4,57.4,10.692,0.954,72.85,0.775,0.655,0.583,0.183,15.02984047,13.44279092
