year_x,country_name,life_ladder,quality_of_life_index,purchasing_power_index,crime_index,health_care_index,cost_of_living_index,pollution_index,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,perceptions_of_corruption,positive_affect,negative_affect
2022,Netherlands,7.39,196.7,107.8,27.3,77.1,68.6,23.7,10.981,0.929,71.625,0.868,0.459,0.711,0.198
2022,Denmark,7.545,194.7,105.0,26.6,79.2,78.6,21.3,10.994,0.97,71.375,0.93,0.203,0.787,0.205
2022,Switzerland,6.884,193.6,118.7,23.6,74.5,114.2,19.6,11.184,0.881,73.1,0.848,0.235,0.71,0.18
2022,Luxembourg,7.228,192.9,127.1,35.1,75.0,73.2,21.9,11.66,0.878,71.675,0.915,0.345,0.718,0.218
2022,Finland,7.729,190.5,98.8,26.8,77.1,67.5,12.0,10.814,0.974,71.225,0.959,0.19,0.741,0.191
2022,Iceland,7.449,187.5,90.1,24.9,67.0,83.3,15.2,10.935,0.985,72.075,0.936,0.692,0.768,0.178
2022,Austria,6.999,185.8,91.2,27.3,77.2,66.0,21.5,10.939,0.876,71.275,0.856,0.524,0.718,0.226
2022,Australia,7.035,183.0,110.9,45.5,75.3,75.3,25.4,10.854,0.942,71.125,0.854,0.545,0.711,0.244
2022,Norway,7.295,182.7,95.0,33.5,76.7,88.6,17.7,11.111,0.927,71.55,0.939,0.314,0.759,0.211
2022,Germany,6.608,179.0,107.6,37.6,71.9,62.9,28.8,10.899,0.916,71.5,0.895,0.417,0.668,0.201
2022,New Zealand,6.975,176.7,93.0,45.8,71.0,72.9,24.2,10.682,0.956,70.425,0.831,0.281,0.706,0.21
2022,Japan,6.178,176.3,100.4,23.1,80.3,64.6,39.2,10.636,0.899,74.475,0.789,0.643,0.67,0.165
2022,Sweden,7.431,175.8,101.2,48.5,68.6,62.9,18.0,10.913,0.949,72.275,0.939,0.213,0.75,0.163
2022,Spain,6.337,173.8,82.5,35.7,77.9,50.6,39.6,10.587,0.934,72.475,0.781,0.673,0.636,0.32
2022,United States,6.693,172.7,115.7,49.0,68.6,72.4,36.1,11.079,0.9,65.725,0.736,0.701,0.712,0.267
