model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
basemodel_lin_reg_5,0.671,0.642,0.529,0.104,0.676,0.638,0.53,0.104,0.0050000000000000044,0.0010000000000000009,0.0040000000000000036,,,
basemodel_lin_reg_8,0.662,0.651,0.519,0.103,0.669,0.645,0.52,0.102,0.007000000000000006,0.0010000000000000009,0.006000000000000005,,,
basemodel_lin_reg_7,0.663,0.65,0.523,0.103,0.671,0.643,0.521,0.102,0.008000000000000007,0.0020000000000000018,0.007000000000000006,,,
basemodel_knn_1_25,0.634,0.68,0.497,0.098,0.634,0.681,0.506,0.099,0.0,0.009000000000000008,0.0010000000000000009,,,
basemodel_knn_2_25,0.634,0.68,0.497,0.098,0.634,0.681,0.506,0.099,0.0,0.009000000000000008,0.0010000000000000009,,,
basemodel_knn_3_25,0.634,0.68,0.497,0.098,0.634,0.681,0.506,0.099,0.0,0.009000000000000008,0.0010000000000000009,,,
basemodel_dectree_dep_3_max_leaf_10,0.641,0.672,0.506,0.1,0.65,0.665,0.522,0.102,0.009000000000000008,0.016000000000000014,0.007000000000000006,,,
basemodel_forest_tree_depth3_max_leaf_10,0.64,0.674,0.504,0.1,0.643,0.672,0.516,0.101,0.0030000000000000027,0.01200000000000001,0.0020000000000000018,15.0,3.0,100.0
basemodel_ada_boost,0.652,0.661,0.524,0.102,0.651,0.664,0.527,0.102,0.0010000000000000009,0.0030000000000000027,0.0030000000000000027,,,
basemodel_gbr_boost,0.616,0.698,,,0.645,0.67,,,0.029000000000000026,,0.027999999999999914,,,
