model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
basemodel_hdi_lin_reg_6,0.682,0.649,0.537,0.107,0.657,0.661,0.512,0.102,0.025000000000000022,0.025000000000000022,0.01200000000000001,,,
basemodel_hdi_lin_reg_8,0.682,0.649,0.536,0.107,0.656,0.662,0.51,0.101,0.026000000000000023,0.026000000000000023,0.013000000000000012,,,
basemodel_hdi_lin_reg_10,0.681,0.65,0.535,0.107,0.655,0.663,0.508,0.101,0.026000000000000023,0.027000000000000024,0.013000000000000012,,,
basemodel_hdi_knn_1_15,,0.673,0.515,0.103,,0.656,0.518,0.103,,0.0030000000000000027,0.017000000000000015,,,
basemodel_hdi_knn_2_15,,0.673,0.515,0.103,,0.656,0.518,0.103,,0.0030000000000000027,0.017000000000000015,,,
basemodel_hdi_knn_3_15,,0.673,0.515,0.103,,0.656,0.518,0.103,,0.0030000000000000027,0.017000000000000015,,,
basemodel_hdi_dectree_dep_5_max_leaf_26,0.66,0.672,0.513,0.102,0.655,0.663,0.513,0.102,0.0050000000000000044,0.0,0.009000000000000008,,,
basemodel_hdi_dectree_dep_6_max_leaf_26,0.657,0.675,0.511,0.102,0.656,0.661,0.51,0.101,0.0010000000000000009,0.0010000000000000009,0.014000000000000012,,,
basemodel_hdi_dectree_dep_7_max_leaf_20,0.659,0.673,0.515,0.103,0.66,0.657,0.514,0.102,0.0010000000000000009,0.0010000000000000009,0.016000000000000014,,,
basemodel_hdi_dectree_dep_5_max_leaf_24,0.66,0.671,0.513,0.102,0.654,0.663,0.511,0.101,0.006000000000000005,0.0020000000000000018,0.008000000000000007,,,
basemodel_hdi_dectree_dep_6_max_leaf_24,0.658,0.674,0.512,0.102,0.655,0.662,0.509,0.101,0.0030000000000000027,0.0030000000000000027,0.01200000000000001,,,
basemodel_hdi_dectree_dep_5_max_leaf_22,0.66,0.671,0.514,0.102,0.654,0.664,0.511,0.101,0.006000000000000005,0.0030000000000000027,0.007000000000000006,,,
basemodel_hdi_forest_tree_depth6_max_leaf_20,,0.68,0.512,0.102,,0.666,0.511,0.101,,0.0010000000000000009,0.014000000000000012,39.0,6.0,100.0
basemodel_hdi_forest_tree_depth5_max_leaf_20,,0.677,0.513,0.102,,0.665,0.512,0.102,,0.0010000000000000009,0.01200000000000001,39.0,5.0,100.0
basemodel_hdi_forest_tree_depth5_max_leaf_25,,0.679,0.51,0.102,,0.665,0.512,0.102,,0.0020000000000000018,0.014000000000000012,49.0,5.0,100.0
basemodel_hdi_forest_tree_depth6_max_leaf_25,,0.684,0.508,0.101,,0.664,0.512,0.102,,0.0040000000000000036,0.020000000000000018,49.0,6.0,100.0
basemodel_hdi_forest_tree_depth6_max_leaf_15,,0.674,0.516,0.103,,0.667,0.51,0.101,,0.006000000000000005,0.007000000000000006,29.0,5.0,100.0
basemodel_hdi_forest_tree_depth5_max_leaf_15,,0.673,0.517,0.103,,0.667,0.511,0.101,,0.006000000000000005,0.006000000000000005,29.0,5.0,100.0
basemodel_hdi_ada_boost,0.672,0.659,0.532,0.106,0.653,0.665,0.52,0.103,0.019000000000000017,0.01200000000000001,0.006000000000000005,,,
basemodel_hdi_gbr_boost,0.65,0.681,,,0.65,0.668,,,0.0,,0.013000000000000012,,,
