model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
model_24_lin_reg_2,0.501,0.81,0.386,0.077,0.503,0.798,0.385,0.077,0.0020000000000000018,0.0010000000000000009,0.01200000000000001,,,
model_24_lin_reg_3,0.462,0.838,0.353,0.07,0.519,0.786,0.388,0.079,0.056999999999999995,0.03500000000000003,0.051999999999999935,,,
model_24_lin_reg_1,0.551,0.77,0.42,0.085,0.54,0.768,0.406,0.082,0.01100000000000001,0.013999999999999957,0.0020000000000000018,,,
model_24_knn_1_15,0.453,0.844,0.347,0.07,0.47,0.824,0.364,0.074,0.01699999999999996,0.017000000000000015,0.020000000000000018,,,
model_24_knn_2_15,0.462,0.838,0.35,0.071,0.471,0.823,0.365,0.074,0.008999999999999952,0.015000000000000013,0.015000000000000013,,,
model_24_knn_3_15,0.468,0.834,0.358,0.073,0.476,0.82,0.366,0.074,0.007999999999999952,0.008000000000000007,0.014000000000000012,,,
model_24_knn_2_20,0.481,0.825,0.37,0.075,0.479,0.818,0.368,0.075,0.0020000000000000018,0.0020000000000000018,0.007000000000000006,,,
model_24_knn_1_20,0.476,0.828,0.365,0.074,0.476,0.82,0.371,0.075,0.0,0.006000000000000005,0.008000000000000007,,,
model_24_knn_3_20,0.488,0.82,0.375,0.076,0.486,0.812,0.372,0.076,0.0020000000000000018,0.0030000000000000027,0.007999999999999896,,,
model_24_knn_2_25,0.493,0.816,0.38,0.078,0.49,0.809,0.376,0.076,0.0030000000000000027,0.0040000000000000036,0.006999999999999895,,,
model_24_dectree_dep_3_max_leaf_10,0.597,0.73,0.471,0.094,0.607,0.707,0.478,0.095,0.010000000000000009,0.007000000000000006,0.02300000000000002,,,
model_24_dectree_dep_3_max_leaf_15,0.597,0.73,0.471,0.094,0.607,0.707,0.478,0.095,0.010000000000000009,0.007000000000000006,0.02300000000000002,,,
model_24_dectree_dep_3_max_leaf_20,0.597,0.73,0.471,0.094,0.607,0.707,0.478,0.095,0.010000000000000009,0.007000000000000006,0.02300000000000002,,,
model_24_dectree_dep_4_max_leaf_10,0.574,0.75,0.45,0.09,0.593,0.72,0.467,0.093,0.019000000000000017,0.017000000000000015,0.030000000000000027,,,
model_24_dectree_dep_4_max_leaf_15,0.55,0.77,0.426,0.085,0.57,0.742,0.444,0.089,0.019999999999999907,0.018000000000000016,0.028000000000000025,,,
model_24_dectree_dep_4_max_leaf_20,0.549,0.772,0.423,0.084,0.57,0.742,0.444,0.089,0.020999999999999908,0.02100000000000002,0.030000000000000027,,,
model_24_forest_tree_depth4_max_leaf_10,0.522,0.793,0.402,0.082,0.528,0.778,0.409,0.083,0.006000000000000005,0.006999999999999951,0.015000000000000013,19.0,4.0,100.0
model_24_forest_tree_depth6_max_leaf_10,0.519,0.795,0.4,0.081,0.526,0.78,0.408,0.082,0.007000000000000006,0.007999999999999952,0.015000000000000013,19.0,4.0,100.0
model_24_forest_tree_depth5_max_leaf_10,0.52,0.795,0.4,0.081,0.527,0.779,0.409,0.082,0.007000000000000006,0.008999999999999952,0.016000000000000014,19.0,4.0,100.0
model_24_forest_tree_depth4_max_leaf_20,0.504,0.807,0.388,0.079,0.518,0.787,0.399,0.081,0.014000000000000012,0.01100000000000001,0.020000000000000018,30.0,4.0,100.0
model_24_forest_tree_depth4_max_leaf_15,0.505,0.806,0.389,0.079,0.518,0.786,0.4,0.081,0.013000000000000012,0.01100000000000001,0.020000000000000018,28.0,4.0,100.0
model_24_forest_tree_depth5_max_leaf_15,0.494,0.815,0.381,0.077,0.51,0.793,0.394,0.08,0.016000000000000014,0.013000000000000012,0.02199999999999991,29.0,5.0,100.0
model_24_ada_boost,0.501,0.811,0.411,0.08,0.537,0.773,0.43,0.084,0.03600000000000003,0.019000000000000017,0.038000000000000034,,,
model_24_extra_depth5_max_nodes_54,,0.814,0.383,0.077,,0.803,0.38,0.077,,0.0030000000000000027,0.010999999999999899,,,
model_24_extra_depth6_max_nodes_54,,0.839,0.355,0.071,,0.818,0.368,0.074,,0.013000000000000012,0.02100000000000002,,,
model_24_extra_depth7_max_nodes_54,,0.852,0.34,0.068,,0.823,0.363,0.073,,0.022999999999999965,0.029000000000000026,,,
model_24_extra_depth10_max_nodes_54,,0.86,0.333,0.067,,0.829,0.358,0.072,,0.024999999999999967,0.031000000000000028,,,
model_24_extra_depth8_max_nodes_54,,0.857,0.335,0.067,,0.826,0.36,0.073,,0.024999999999999967,0.031000000000000028,,,
model_24_extra_depth12_max_nodes_54,,0.86,0.333,0.067,,0.828,0.359,0.072,,0.025999999999999968,0.03200000000000003,,,
