model_name,train_r2,train_mae,train_mape,test_r2,test_mae,test_mape,delta_MAE,delta_R2
model_26_knn_2_5,0.902,0.202,0.037,0.844,0.268,0.06,0.066,0.05800000000000005
model_26_knn_1_5,0.915,0.191,0.034,0.833,0.277,0.063,0.08600000000000002,0.08200000000000007
model_26_knn_3_5,0.899,0.206,0.037,0.832,0.285,0.063,0.07899999999999999,0.06700000000000006
model_26_knn_1_10,0.87,0.248,0.044,0.809,0.304,0.068,0.055999999999999994,0.06099999999999994
model_26_knn_2_10,0.859,0.254,0.045,0.802,0.314,0.07,0.06,0.05699999999999994
model_26_knn_3_10,0.849,0.264,0.047,0.796,0.319,0.07,0.05499999999999999,0.052999999999999936
model_26_dectree_dep_4_max_leaf_10,0.778,0.343,0.06,0.797,0.351,0.072,0.007999999999999952,0.019000000000000017
model_26_dectree_dep_4_max_leaf_5,0.681,0.426,0.073,0.688,0.455,0.092,0.029000000000000026,0.006999999999999895
model_26_dectree_dep_4_max_leaf_15,0.804,0.316,0.055,0.798,0.362,0.074,0.045999999999999985,0.006000000000000005
model_26_dectree_dep_4_max_leaf_20,0.805,0.314,0.055,0.797,0.364,0.075,0.04999999999999999,0.008000000000000007
model_26_dectree_dep_4_max_leaf_25,0.805,0.314,0.055,0.797,0.364,0.075,0.04999999999999999,0.008000000000000007
model_26_forest_tree_depth6_max_leaf_10,0.822,0.304,0.053,0.715,0.398,0.086,0.09400000000000003,0.10699999999999998
model_26_forest_tree_depth5_max_leaf_10,0.821,0.305,0.054,0.714,0.399,0.086,0.09400000000000003,0.10699999999999998
model_26_forest_tree_depth7_max_leaf_10,0.822,0.304,0.053,0.713,0.399,0.086,0.09500000000000003,0.10899999999999999
model_26_forest_tree_depth7_max_leaf_20,0.882,0.248,0.043,0.765,0.346,0.076,0.09799999999999998,0.11699999999999999
model_26_forest_tree_depth6_max_leaf_20,0.879,0.251,0.044,0.762,0.35,0.076,0.09899999999999998,0.11699999999999999
model_26_forest_tree_depth6_max_leaf_15,0.857,0.273,0.048,0.741,0.372,0.081,0.09899999999999998,0.11599999999999999
model_26_extra_depth6_max_feat_0.5,0.871,0.256,0.045,0.766,0.358,0.078,0.10199999999999998,0.10499999999999998
model_26_extra_depth6_max_feat_1.0,0.902,0.217,0.038,0.791,0.328,0.072,0.11100000000000002,0.11099999999999999
model_26_extra_depth7_max_feat_0.5,0.914,0.207,0.036,0.789,0.332,0.073,0.12500000000000003,0.125
model_26_extra_depth8_max_feat_0.5,0.946,0.163,0.028,0.814,0.293,0.065,0.12999999999999998,0.132
model_26_extra_depth7_max_feat_1.0,0.938,0.172,0.03,0.81,0.304,0.067,0.132,0.1279999999999999
model_26_extra_depth8_max_feat_1.0,0.964,0.131,0.023,0.826,0.285,0.063,0.15399999999999997,0.138
